RollNumber,ApplicantName,Online C,Online O
Student 125,xxxxxxxxxx,186,112
Student 126,xxxxxxxxxx,166,184
Student 127,xxxxxxxxxx,256,214
Student 128,xxxxxxxxxx,223,180
Student 129,xxxxxxxxxx,316,188
Student 130,xxxxxxxxxx,96,191
Student 131,xxxxxxxxxx,386,234
Student 132,xxxxxxxxxx,212,256
Student 133,xxxxxxxxxx,128,160
Student 134,xxxxxxxxxx,229,59
Student 135,xxxxxxxxxx,189,301
Student 136,xxxxxxxxxx,177,289
Student 137,xxxxxxxxxx,157,23
Student 138,xxxxxxxxxx,169,112
Student 139,xxxxxxxxxx,151,161
Student 140,xxxxxxxxxx,239,152
Student 141,xxxxxxxxxx,143,163
Student 142,xxxxxxxxxx,191,27
Student 143,xxxxxxxxxx,272,184
Student 144,xxxxxxxxxx,157,238
Student 145,xxxxxxxxxx,150,210
Student 146,xxxxxxxxxx,150,20
Student 147,xxxxxxxxxx,186,56
Student 148,xxxxxxxxxx,115,10
Student 149,xxxxxxxxxx,224,123
Student 150,xxxxxxxxxx,189,67
Student 151,xxxxxxxxxx,246,210
Student 152,xxxxxxxxxx,132,24
Student 153,xxxxxxxxxx,140,34
Student 154,xxxxxxxxxx,315,208
Student 155,xxxxxxxxxx,78,89
Student 156,xxxxxxxxxx,280,326
Student 157,xxxxxxxxxx,112,140
Student 158,xxxxxxxxxx,168,40
Student 159,xxxxxxxxxx,223,205
