RollNumber,ApplicantName,Online C,Online O
Student 160,xxxxxxxxxx,186,112
Student 161,xxxxxxxxxx,166,184
Student 162,xxxxxxxxxx,256,214
Student 163,xxxxxxxxxx,223,180
Student 164,xxxxxxxxxx,316,188
Student 165,xxxxxxxxxx,96,191
Student 166,xxxxxxxxxx,386,234
Student 167,xxxxxxxxxx,212,256
Student 168,xxxxxxxxxx,128,160
Student 169,xxxxxxxxxx,229,59
Student 170,xxxxxxxxxx,189,301
Student 171,xxxxxxxxxx,177,289
Student 172,xxxxxxxxxx,157,23
Student 173,xxxxxxxxxx,169,112
Student 174,xxxxxxxxxx,151,161
Student 175,xxxxxxxxxx,239,152
Student 176,xxxxxxxxxx,143,163
Student 177,xxxxxxxxxx,191,27
Student 178,xxxxxxxxxx,272,184
Student 179,xxxxxxxxxx,157,238
Student 180,xxxxxxxxxx,150,210
