ApplicantName,CGPA,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,PlagiarismHistory,CW1,CW2,ESE,Online C,Online O,Played,Paused,Likes,Segment,Result
Student 1,Very Good,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Very Good,Excellent,3,1,2,2,Pass
Student 2,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Poor,Poor,1,0,0,0,Pass
Student 3,Fair,Low,No,No,No,No,No,No,Low,Low,Fail,Fail,Fail,Fair,Very Good,2,2,1,1,Pass
Student 4,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Very Good,Fair,3,1,1,2,Pass
Student 5,Fair,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Fair,Very Good,8,13,1,7,Pass
Student 6,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Excellent,Very Good,5,3,0,4,Pass
Student 7,Fair,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Poor,Very Good,5,7,1,4,Pass
Student 8,Fair,Medium,No,No,No,No,Yes,No,Low,Low,Fail,Fail,Adequate,Fair,Poor,1,7,2,0,Pass
Student 9,Adequate,Medium,No,Yes,No,No,Yes,No,Medium,Low,Very Good,Very Good,Fail,Fair,Good,1,1,1,0,Pass
Student 10,Adequate,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fair,Excellent,Excellent,1,0,1,0,Pass
Student 11,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Good,Poor,Adequate,1,1,1,0,Pass
Student 12,Adequate,Low,No,Yes,Yes,No,No,No,Medium,Low,Good,Good,Adequate,Excellent,Very Good,6,7,0,5,Pass
Student 13,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fair,Good,Adequate,1,0,1,0,Pass
Student 14,Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Poor,Good,3,0,1,2,Pass
Student 15,Fair,Low,No,No,No,No,Yes,No,High,Low,Fair,Fair,Fair,Good,Fair,1,0,1,0,Pass
Student 16,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Good,Fair,1,0,0,0,Pass
Student 17,Excellent,Low,No,No,No,No,No,No,Low,Low,Adequate,Adequate,Adequate,Excellent,Good,1,0,0,0,Pass
Student 18,Very Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Good,Good,1,6,1,0,Pass
Student 19,Adequate,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Adequate,Very Good,Good,1,4,1,0,Pass
Student 20,Adequate,Medium,No,No,No,No,Yes,Yes,High,Low,Excellent,Excellent,Very Good,Fair,Very Good,1,3,1,0,Pass
Student 21,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Fair,Very Good,Fair,1,4,0,0,Pass
Student 22,Excellent,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Good,Very Good,Very Good,1,5,1,0,Pass
Student 23,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Good,Very Good,1,5,1,0,Pass
Student 24,Adequate,Medium,No,No,No,No,Yes,No,Low,Medium,Fair,Fair,Fail,Excellent,Excellent,1,5,1,0,Pass
Student 25,Poor,Medium,No,Yes,Yes,No,Yes,Yes,Low,Low,Very Good,Very Good,Good,Excellent,Very Good,1,2,0,0,Pass
Student 26,Adequate,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Good,Poor,2,0,2,1,Fail
Student 27,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Very Good,Excellent,1,0,0,0,Pass
Student 28,Adequate,Low,No,No,No,No,No,No,Medium,Low,Excellent,Excellent,Adequate,Adequate,Adequate,1,1,0,0,Pass
Student 29,Poor,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Fail,Very Good,Good,1,1,1,0,Pass
Student 30,Adequate,Medium,No,No,No,No,Yes,No,High,Low,Adequate,Adequate,Fail,Very Good,Very Good,5,0,1,4,Pass
Student 31,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Very Good,Very Good,Excellent,2,0,0,1,Pass
Student 32,Excellent,Low,No,No,No,No,No,No,High,Low,Good,Good,Fail,Excellent,Very Good,1,0,0,0,Pass
Student 33,Adequate,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Adequate,Very Good,Fair,1,0,1,0,Pass
Student 34,Fair,Low,No,No,No,No,No,No,High,Low,Fail,Fail,Fail,Good,Adequate,1,0,1,0,Pass
Student 35,Fair,Low,No,No,No,No,No,No,Low,Low,Fair,Fair,Good,Adequate,Good,2,0,0,1,Pass
Student 36,Adequate,High,No,No,Yes,No,No,No,High,Low,Fair,Fair,Adequate,Excellent,Very Good,1,0,0,0,Pass
Student 37,Adequate,Low,No,No,No,No,No,No,Medium,Low,Excellent,Excellent,Very Good,Good,Very Good,1,0,1,0,Pass
Student 38,Adequate,Medium,No,No,Yes,No,Yes,No,Low,Low,Good,Good,Adequate,Very Good,Fair,1,0,1,0,Pass
Student 39,Adequate,Medium,No,No,No,No,Yes,No,Low,Low,Very Good,Very Good,Adequate,Fair,Very Good,1,0,0,0,Pass
Student 40,Fair,Low,No,No,No,No,No,No,Low,Low,Very Good,Very Good,Very Good,Very Good,Very Good,1,0,0,0,Pass
Student 41,Fair,Low,No,No,No,No,No,No,Medium,Low,Adequate,Adequate,Adequate,Very Good,Good,1,0,0,0,Pass
Student 42,Adequate,Low,No,No,No,No,Yes,Yes,High,Low,Adequate,Adequate,Fail,Excellent,Excellent,3,1,2,2,Pass
Student 43,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Fair,Fair,Fail,Very Good,Excellent,1,0,1,0,Pass
Student 44,Adequate,Low,No,No,No,No,No,No,Medium,Low,Fail,Fail,Fail,Poor,Good,2,2,1,1,Pass
Student 45,Good,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Excellent,Very Good,3,1,1,2,Pass
Student 46,Poor,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Good,Adequate,Adequate,8,13,1,7,Pass
Student 47,Adequate,Low,No,No,No,No,No,No,High,Low,Good,Good,Fail,Good,Very Good,5,3,0,4,Pass
Student 48,Adequate,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Very Good,Very Good,Very Good,5,7,1,4,Pass
Student 49,Adequate,Medium,No,No,No,No,Yes,No,Medium,Low,Very Good,Very Good,Adequate,Excellent,Very Good,1,7,2,0,Pass
Student 50,Very Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Adequate,Very Good,Excellent,1,1,0,0,Pass
Student 51,Very Good,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Adequate,Fair,Very Good,1,0,0,0,Pass
Student 52,Good,Low,No,No,No,No,No,No,High,Low,Good,Fair,Fair,Adequate,Poor,1,1,1,0,Pass
Student 53,Excellent,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Very Good,Excellent,Adequate,6,7,1,5,Pass
Student 54,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fair,Fair,Poor,1,0,1,0,Pass
Student 55,Adequate,Low,No,No,No,No,Yes,No,High,Low,Very Good,Good,Fair,Good,Poor,3,0,1,2,Fail
Student 56,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Very Good,Fair,Poor,1,0,1,0,Fail
Student 57,Fair,Low,No,No,No,No,No,No,Medium,Low,Good,Fair,Fail,Good,Poor,1,0,1,0,Pass
Student 58,Fair,Low,No,No,No,No,No,No,High,Low,Fair,Fair,Adequate,Good,Fair,1,0,1,0,Pass
Student 59,Adequate,Low,No,No,No,No,No,No,High,Low,Adequate,Adequate,Fail,Good,Poor,1,6,0,0,Pass
Student 60,Adequate,Low,No,No,Yes,No,Yes,No,High,Low,Fair,Fair,Good,Very Good,Good,1,4,0,0,Pass
Student 61,Good,Low,No,No,No,No,No,No,Medium,Low,Excellent,Fair,Fair,Good,Fair,1,3,1,0,Pass
Student 62,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Good,Excellent,Very Good,Very Good,1,4,0,0,Fail
Student 63,Good,Low,No,No,No,No,No,No,High,Low,Very Good,Good,Fail,Good,Poor,1,5,1,0,Pass
Student 64,Adequate,Low,No,No,No,No,Yes,No,High,Low,Fair,Very Good,Adequate,Good,Adequate,1,5,1,0,Pass
Student 65,Good,Low,No,No,No,No,No,No,High,Low,Excellent,Very Good,Very Good,Excellent,Very Good,1,5,0,0,Pass
Student 66,Fair,Low,No,No,No,No,No,No,High,Low,Very Good,Very Good,Fail,Fair,Fair,1,2,0,0,Pass
Student 67,Very Good,Low,No,No,No,No,No,No,High,Low,Excellent,Excellent,Excellent,Very Good,Excellent,2,0,2,1,Pass
Student 68,Good,Low,No,No,No,No,No,No,High,Low,Good,Good,Fail,Good,Good,1,0,0,0,Pass
Student 69,Adequate,Low,No,No,No,No,Yes,No,High,Low,Very Good,Very Good,Fail,Good,Adequate,1,1,0,0,Pass
Student 70,Adequate,Low,No,No,No,No,Yes,No,Medium,Low,Good,Fair,Fail,Good,Fair,1,1,0,0,Pass
