ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 1,Course 1,Session-A,Student 189,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 1,Course 1,Session-A,Student 190,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 17,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 1,Course 1,Session-A,Student 191,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 1,Course 1,Session-A,Student 192,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 19,No,No,Yes,No,No,No,Not Applicable(Not Disabled),3,Yes,Module 4,No History
Module 1,Course 1,Session-A,Student 193,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 13,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 1,Course 1,Session-A,Student 194,xxxxxxxxxx,xxxxxxxx,3.75,1,Advisor 13,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 1,Course 1,Session-A,Student 195,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 17,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 1,Course 1,Session-A,Student 196,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 23,No,No,No,No,Yes,Yes,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 1,Course 1,Session-A,Student 197,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,Module 6,No History
Module 1,Course 1,Session-A,Student 198,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 19,No,Yes,Yes,No,Yes,Yes,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 1,Course 1,Session-A,Student 199,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 10,No,No,No,No,Yes,Yes,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 1,Course 1,Session-A,Student 200,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 5,No,No,Yes,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 1,Course 1,Session-A,Student 201,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 3,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 1,Course 1,Session-A,Student 202,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor 1,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 1,Course 1,Session-A,Student 203,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 13,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,Module 6,No History
Module 1,Course 1,Session-A,Student 204,xxxxxxxxxx,xxxxxxxx,2.25,2,Advisor 2,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 1,Course 1,Session-A,Student 205,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 10,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 1,Course 1,Session-A,Student 206,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 12,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,Module 7,No History
Module 1,Course 1,Session-A,Student 207,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 15,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
