ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 2,Course 2,Session-A,Student 1,xxxxxxxxxx,xxxxxxxx,3.5,1,Advisor 10,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 2,xxxxxxxx,xxxxxxxx,2.25,1,Advisor 16,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 3,xxxxxxxx,xxxxxxxx,2.5,1,Advisor 16,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 4,xxxxxxxx,xxxxxxxx,1.75,1,Advisor 5,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,Module 8,No History
Module 2,Course 2,Session-A,Student 5,xxxxxxxx,xxxxxxxx,2.5,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 6,xxxxxxxx,xxxxxxxx,2.5,1,Advisor 14,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 7,xxxxxxxx,xxxxxxxx,2.25,1,Advisor 18,No,No,No,No,No,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 2,Course 2,Session-A,Student 8,xxxxxxxx,xxxxxxxx,2.5,2,Advisor 12,No,No,No,No,Yes,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 9,xxxxxxxx,xxxxxxxx,2,2,Advisor 11,No,Yes,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,Module 2,Module 9
Module 2,Course 2,Session-A,Student 10,xxxxxxxx,xxxxxxxx,2,1,Advisor 20,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 11,xxxxxxxx,xxxxxxxx,1.75,1,Advisor 16,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 12,xxxxxxxx,xxxxxxxx,1.75,1,Advisor 11,No,Yes,Yes,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 13,xxxxxxxx,xxxxxxxx,2.5,1,Advisor 11,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 14,xxxxxxxx,xxxxxxxx,3,1,Advisor 15,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 15,xxxxxxxx,xxxxxxxx,2.5,1,Advisor 5,No,No,No,No,Yes,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 16,xxxxxxxx,xxxxxxxx,2.5,1,Advisor 20,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 17,xxxxxxxx,xxxxxxxx,3.75,1,Advisor 24,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 18,xxxxxxxx,xxxxxxxx,3.5,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
