ModuleCode,ModuleTitle,SessionName,RollNumber,ApplicantName,ApplicantMobile,CGPA,AttemptCount,Advisor,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,SpecialNeed,OtherModules,PrerequisiteModules,PlagiarismHistory,MalPracticeHistory
Module 2,Course 2,Session-A,Student 19,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 3,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,Module 6,No History
Module 2,Course 2,Session-A,Student 20,xxxxxxxxxx,xxxxxxxx,2,2,Advisor 19,No,No,No,No,Yes,Yes,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 21,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 13,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 22,xxxxxxxxxx,xxxxxxxx,4,1,Advisor 10,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 23,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 12,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 24,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 25,No,No,No,No,Yes,No,Not Applicable(Not Disabled),1,Yes,Module 10,No History
Module 2,Course 2,Session-A,Student 25,xxxxxxxxxx,xxxxxxxx,0,2,Advisor 24,No,Yes,Yes,No,Yes,Yes,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 2,Course 2,Session-A,Student 26,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 8,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,COMP 10006 - End Semester Examination (Summer 2018)
Module 2,Course 2,Session-A,Student 27,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 9,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 28,xxxxxxxxxx,xxxxxxxx,1.75,1,Advisor 2,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 29,xxxxxxxxxx,xxxxxxxx,,1,Advisor 9,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 30,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 1,No,No,No,No,Yes,No,Not Applicable(Not Disabled),3,Yes,Module 6,No History
Module 2,Course 2,Session-A,Student 31,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 25,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 32,xxxxxxxxxx,xxxxxxxx,3.75,1,Advisor 18,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 33,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,Module 11,No History
Module 2,Course 2,Session-A,Student 34,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 20,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 35,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 36,xxxxxxxxxx,xxxxxxxx,1.75,3,Advisor 11,No,No,Yes,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 37,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 15,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 38,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 14,No,No,Yes,No,Yes,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 39,xxxxxxxxxx,xxxxxxxx,2,2,Advisor 10,No,No,No,No,Yes,No,Not Applicable(Not Disabled),4,Yes,No History,No History
Module 2,Course 2,Session-A,Student 40,xxxxxxxxxx,xxxxxxxx,2.25,1,Advisor 18,No,No,No,No,No,No,Not Applicable(Not Disabled),1,Yes,No History,No History
Module 2,Course 2,Session-A,Student 41,xxxxxxxxxx,xxxxxxxx,2.5,1,Advisor 18,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 42,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 18,No,No,No,No,Yes,Yes,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 43,xxxxxxxxxx,xxxxxxxx,1.75,2,Advisor 15,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 44,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 23,No,No,No,No,No,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 45,xxxxxxxxxx,xxxxxxxx,3,1,Advisor 5,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 46,xxxxxxxxxx,xxxxxxxx,,1,Advisor 19,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 47,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 13,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 48,xxxxxxxxxx,xxxxxxxx,2,1,Advisor 20,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 49,xxxxxxxxxx,xxxxxxxx,2,2,Advisor 3,No,No,No,No,Yes,No,Not Applicable(Not Disabled),2,Yes,No History,No History
Module 2,Course 2,Session-A,Student 50,xxxxxxxxxx,xxxxxxxx,3.5,1,Advisor 22,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
Module 2,Course 2,Session-A,Student 51,xxxxxxxxxx,xxxxxxxx,3.25,1,Advisor 15,No,No,No,No,No,No,Not Applicable(Not Disabled),3,Yes,No History,No History
