Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"17/10/21, 12:39",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),Logs,Log report viewed,The user with id '4' viewed the log report for the course with id '111'.,web,10.7.34.59
"17/10/21, 12:38",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '4' viewed the course with id '111'.,web,10.7.34.59
"19/08/20, 12:40",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '818' viewed the course with id '111'.,web,192.168.99.3
"6/08/20, 21:00",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '2317' viewed the course with id '111'.,web,192.168.99.3
"4/08/20, 12:51",-,-,File: MIG ,File,Course module viewed,The user with id '3977' viewed the 'resource' activity with course module id '3409'.,web,192.168.99.3
"4/08/20, 12:50",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '3977' viewed the course with id '111'.,web,192.168.99.3
"6/07/20, 02:53",-,-,File: Lab Exercises _ Week 1 &amp; Week 2 ,File,Course module viewed,The user with id '593' viewed the 'resource' activity with course module id '5760'.,web,192.168.99.3
"6/07/20, 02:44",-,-,File: Week-3_ Classess and Objects,File,Course module viewed,The user with id '593' viewed the 'resource' activity with course module id '4137'.,web,192.168.99.3
"6/07/20, 02:43",-,-,File: Week 7_Polymorphism,File,Course module viewed,The user with id '593' viewed the 'resource' activity with course module id '4146'.,web,192.168.99.3
"6/07/20, 02:43",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '593' viewed the course with id '111'.,web,192.168.99.3
"5/07/20, 18:28",-,-,File: Week 10_Exception_Handling,File,Course module viewed,The user with id '2317' viewed the 'resource' activity with course module id '4150'.,web,192.168.99.3
"5/07/20, 18:22",-,-,File: Week-5.Java Methods,File,Course module viewed,The user with id '2317' viewed the 'resource' activity with course module id '4140'.,web,192.168.99.3
"5/07/20, 18:22",-,-,File: Week-5.Java Methods,File,Course module viewed,The user with id '2317' viewed the 'resource' activity with course module id '4140'.,web,192.168.99.3
"5/07/20, 18:19",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '2317' viewed the course with id '111'.,web,192.168.99.3
"28/06/20, 15:59",-,-,File: Week 13_Java_File_handling,File,Course module viewed,The user with id '2317' viewed the 'resource' activity with course module id '4153'.,web,192.168.99.3
"28/06/20, 15:59",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '2317' viewed the course with id '111'.,web,192.168.99.3
"28/06/20, 15:58",-,-,File: Week 13_Java_File_handling,File,Course module viewed,The user with id '2317' viewed the 'resource' activity with course module id '4153'.,web,192.168.99.3
"28/06/20, 15:58",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '2317' viewed the course with id '111'.,web,192.168.99.3
"4/05/20, 20:27",-,-,File: Week-3_ Classess and Objects,File,Course module viewed,The user with id '593' viewed the 'resource' activity with course module id '4137'.,web,192.168.99.3
"4/05/20, 20:26",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '593' viewed the course with id '111'.,web,192.168.99.3
"28/04/20, 20:26",-,-,File: MIG ,File,Course module viewed,The user with id '594' viewed the 'resource' activity with course module id '3409'.,web,192.168.99.3
"28/04/20, 20:25",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '594' viewed the course with id '111'.,web,192.168.99.3
"28/04/20, 01:47",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,User list viewed,The user with id '802' viewed the list of users in the course with id '111'.,web,192.168.99.3
"28/04/20, 01:46",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,User list viewed,The user with id '802' viewed the list of users in the course with id '111'.,web,192.168.99.3
"28/04/20, 01:46",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '802' viewed the course with id '111'.,web,192.168.99.3
"23/04/20, 10:23",-,-,File: MIG ,File,Course module viewed,The user with id '2317' viewed the 'resource' activity with course module id '3409'.,web,192.168.99.3
"23/04/20, 10:23",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '2317' viewed the course with id '111'.,web,192.168.99.3
"23/04/20, 10:23",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '2317' viewed the course with id '111'.,web,192.168.99.3
"25/03/20, 09:09",-,-,Course: Object Oriented Programming(Fall 2019 - F19 COMP 0328.1),System,Course viewed,The user with id '4566' viewed the course with id '111'.,web,192.168.99.3
