Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"30/06/18, 22:22",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '2682' viewed the course with id '158'.,web,192.168.99.3
"27/06/18, 03:37",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '2257' viewed the course with id '158'.,web,192.168.99.3
"25/06/18, 08:39",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '4357' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 07:57",-,-,File: Week4,File,Course module viewed,The user with id '5121' viewed the 'resource' activity with course module id '2427'.,web,192.168.99.3
"23/06/18, 07:57",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '5121' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 07:08",-,-,File: Week13,File,Course module viewed,The user with id '2496' viewed the 'resource' activity with course module id '2457'.,web,192.168.99.3
"23/06/18, 07:07",-,-,File: Week11,File,Course module viewed,The user with id '2496' viewed the 'resource' activity with course module id '2451'.,web,192.168.99.3
"23/06/18, 07:07",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '2496' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 06:52",-,-,File: Week9,File,Course module viewed,The user with id '394' viewed the 'resource' activity with course module id '2445'.,web,192.168.99.3
"23/06/18, 06:49",-,-,File: Week8,File,Course module viewed,The user with id '394' viewed the 'resource' activity with course module id '2441'.,web,192.168.99.3
"23/06/18, 06:48",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '394' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 05:28",-,-,File: Lab Exercises_Week14,File,Course module viewed,The user with id '4792' viewed the 'resource' activity with course module id '2459'.,web,192.168.99.3
"23/06/18, 05:28",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '4792' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 05:27",-,-,File: Lab Exercises_Week13,File,Course module viewed,The user with id '4792' viewed the 'resource' activity with course module id '2458'.,web,192.168.99.3
"23/06/18, 05:27",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '4792' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 05:25",-,-,File: Week13,File,Course module viewed,The user with id '4792' viewed the 'resource' activity with course module id '2457'.,web,192.168.99.3
"23/06/18, 05:25",-,-,File: Week11,File,Course module viewed,The user with id '2276' viewed the 'resource' activity with course module id '2451'.,web,192.168.99.3
"23/06/18, 05:25",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '4792' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 05:25",-,-,File: Week10,File,Course module viewed,The user with id '2276' viewed the 'resource' activity with course module id '2448'.,web,192.168.99.3
"23/06/18, 05:24",-,-,File: Week 1,System,Course activity completion updated,The user with id '2276' updated the completion state for the course module with id '2403' for the user with id '2276'.,web,192.168.99.3
"23/06/18, 05:24",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '2276' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 04:36",-,-,File: Week4,File,Course module viewed,The user with id '4357' viewed the 'resource' activity with course module id '2427'.,web,192.168.99.3
"23/06/18, 04:35",-,-,File: Week3,File,Course module viewed,The user with id '4357' viewed the 'resource' activity with course module id '2421'.,web,192.168.99.3
"23/06/18, 04:35",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '4357' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 04:31",-,-,File: Week11,File,Course module viewed,The user with id '2688' viewed the 'resource' activity with course module id '2451'.,web,192.168.99.3
"23/06/18, 04:31",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '2688' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 02:52",-,-,File: Week10,File,Course module viewed,The user with id '5121' viewed the 'resource' activity with course module id '2448'.,web,192.168.99.3
"23/06/18, 02:50",-,-,Course: Object Oriented Programming(Spring 2018 - S18 COMP 0328.1),System,Course viewed,The user with id '4829' viewed the course with id '158'.,web,192.168.99.3
"23/06/18, 02:46",-,-,File: Week11,File,Course module viewed,The user with id '5121' viewed the 'resource' activity with course module id '2451'.,web,192.168.99.3
