ModuleCode,ModuleTitle,SessionName,ApplicantName,CGPA,CGPA,AttemptCount,AttemptCount,RemoteStudent,Probation,HighRisk,TermExceeded,AtRisk,AtRiskSSC,OtherModules,OtherModules,PlagiarismHistory,PlagiarismHistory,CW1,CW1,CW2,CW2,ESE,ESE,Online C,Online C,Online O,Online O,Played,Paused,Likes,Segment,Result
Module 2,Course 2,Session-A,Student 1,Very Good,3.5,1,Low,No,No,No,No,No,No,3,High,0,Low,72.5,Fair,72.5,Fair,65,Adequate,239,Very Good,301,Excellent,3,1,2,2,Pass
Module 2,Course 2,Session-A,Student 2,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,71.2,Fair,71.2,Fair,54.5,Adequate,18,Poor,13,Poor,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 3,Fair,2.5,1,Low,No,No,No,No,No,No,1,Low,0,Low,21.7,Fail,21.7,Fail,0,Fail,54,Fair,249,Very Good,2,2,1,1,Pass
Module 2,Course 2,Session-A,Student 4,Adequate,1.75,1,Low,No,No,No,No,No,No,3,High,1,Low,63.7,Adequate,63.7,Adequate,43.5,Fail,253,Very Good,90,Fair,3,1,1,2,Pass
Module 2,Course 2,Session-A,Student 5,Fair,2.5,1,Low,No,No,No,No,No,No,2,Medium,0,Low,55.8,Adequate,55.8,Adequate,64,Adequate,77,Fair,241,Very Good,8,13,1,7,Pass
Module 2,Course 2,Session-A,Student 6,Fair,2.5,1,Low,No,No,No,No,No,No,1,Low,0,Low,63.3,Adequate,63.3,Adequate,61,Adequate,354,Excellent,238,Very Good,5,3,0,4,Pass
Module 2,Course 2,Session-A,Student 7,Fair,2.25,1,Low,No,No,No,No,No,No,4,Low,0,Low,56.7,Adequate,56.7,Adequate,50,Adequate,9,Poor,280,Very Good,5,7,1,4,Pass
Module 2,Course 2,Session-A,Student 8,Fair,2.5,2,Medium,No,No,No,No,Yes,No,1,Low,0,Low,40,Fail,40,Fail,59,Adequate,94,Fair,15,Poor,1,7,2,0,Pass
Module 2,Course 2,Session-A,Student 9,Adequate,2,2,Medium,No,Yes,No,No,Yes,No,2,Medium,1,Low,86,Very Good,86,Very Good,47,Fail,86,Fair,130,Good,1,1,1,0,Pass
Module 2,Course 2,Session-A,Student 10,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,83,Very Good,83,Very Good,70,Fair,308,Excellent,395,Excellent,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 11,Adequate,1.75,1,Low,No,No,No,No,No,No,2,Medium,0,Low,63.9,Adequate,63.9,Adequate,76,Good,2,Poor,30,Adequate,1,1,1,0,Pass
Module 2,Course 2,Session-A,Student 12,Adequate,1.75,1,Low,No,Yes,Yes,No,No,No,2,Medium,0,Low,76.3,Good,76.3,Good,64,Adequate,301,Excellent,296,Very Good,6,7,0,5,Pass
Module 2,Course 2,Session-A,Student 13,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,86.5,Very Good,86.5,Very Good,66,Fair,110,Good,36,Adequate,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 14,Good,3,1,Low,No,No,No,No,No,No,3,High,0,Low,51.8,Adequate,51.8,Adequate,48,Fail,21,Poor,164,Good,3,0,1,2,Pass
Module 2,Course 2,Session-A,Student 15,Fair,2.5,1,Low,No,No,No,No,Yes,No,3,High,0,Low,73.4,Fair,73.4,Fair,72,Fair,106,Good,76,Fair,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 16,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,69.2,Fair,69.2,Fair,65,Adequate,156,Good,89,Fair,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 17,Excellent,3.75,1,Low,No,No,No,No,No,No,1,Low,0,Low,54.7,Adequate,54.7,Adequate,50,Adequate,380,Excellent,179,Good,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 18,Very Good,3.5,1,Low,No,No,No,No,No,No,3,High,0,Low,54.8,Adequate,54.8,Adequate,45,Fail,163,Good,152,Good,1,6,1,0,Pass
Module 2,Course 2,Session-A,Student 19,Adequate,1.75,1,Low,No,No,No,No,No,No,1,Low,1,Low,70.3,Fair,70.3,Fair,65,Adequate,218,Very Good,125,Good,1,4,1,0,Pass
Module 2,Course 2,Session-A,Student 20,Adequate,2,2,Medium,No,No,No,No,Yes,Yes,3,High,0,Low,88.3,Excellent,88.3,Excellent,84,Very Good,93,Fair,255,Very Good,1,3,1,0,Pass
Module 2,Course 2,Session-A,Student 21,Fair,2.5,1,Low,No,No,No,No,No,No,1,Low,0,Low,67.96,Fair,67.96,Fair,67,Fair,245,Very Good,84,Fair,1,4,0,0,Pass
Module 2,Course 2,Session-A,Student 22,Excellent,4,1,Low,No,No,No,No,No,No,3,High,0,Low,88,Excellent,88,Excellent,79.5,Good,287,Very Good,253,Very Good,1,5,1,0,Pass
Module 2,Course 2,Session-A,Student 23,Adequate,2,1,Low,No,No,No,No,No,No,2,Medium,0,Low,65.38,Adequate,65.38,Adequate,49,Fail,100,Good,223,Very Good,1,5,1,0,Pass
Module 2,Course 2,Session-A,Student 24,Adequate,1.75,2,Medium,No,No,No,No,Yes,No,1,Low,2,Medium,67.3,Fair,67.3,Fair,45.5,Fail,320,Excellent,391,Excellent,1,5,1,0,Pass
Module 2,Course 2,Session-A,Student 25,Poor,0,2,Medium,No,Yes,Yes,No,Yes,Yes,4,Low,0,Low,86.56,Very Good,86.56,Very Good,78.5,Good,399,Excellent,249,Very Good,1,2,0,0,Pass
Module 2,Course 2,Session-A,Student 26,Adequate,2,1,Low,No,No,No,No,No,No,2,Medium,0,Low,64.26,Adequate,64.26,Adequate,56,Adequate,174,Good,19,Poor,2,0,2,1,Fail
Module 2,Course 2,Session-A,Student 27,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,49.2,Fail,49.2,Fail,0,Fail,293,Very Good,339,Excellent,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 28,Adequate,1.75,1,Low,No,No,No,No,No,No,2,Medium,0,Low,91.5,Excellent,91.5,Excellent,58.5,Adequate,45,Adequate,43,Adequate,1,1,0,0,Pass
Module 2,Course 2,Session-A,Student 29,Poor,,1,Low,No,No,No,No,No,No,2,Medium,0,Low,51.66,Adequate,51.66,Adequate,48,Fail,223,Very Good,186,Good,1,1,1,0,Pass
Module 2,Course 2,Session-A,Student 30,Adequate,1.75,2,Medium,No,No,No,No,Yes,No,3,High,1,Low,54.8,Adequate,54.8,Adequate,45,Fail,243,Very Good,262,Very Good,5,0,1,4,Pass
Module 2,Course 2,Session-A,Student 31,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,85.3,Very Good,85.3,Very Good,83,Very Good,256,Very Good,318,Excellent,2,0,0,1,Pass
Module 2,Course 2,Session-A,Student 32,Excellent,3.75,1,Low,No,No,No,No,No,No,3,High,0,Low,77.8,Good,77.8,Good,35,Fail,324,Excellent,243,Very Good,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 33,Adequate,2,1,Low,No,No,No,No,No,No,3,High,1,Low,44.76,Fail,44.76,Fail,64,Adequate,296,Very Good,65,Fair,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 34,Fair,2.5,1,Low,No,No,No,No,No,No,3,High,0,Low,47.2,Fail,47.2,Fail,14,Fail,140,Good,35,Adequate,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 35,Fair,2.25,1,Low,No,No,No,No,No,No,1,Low,0,Low,72.7,Fair,72.7,Fair,76,Good,42,Adequate,166,Good,2,0,0,1,Pass
Module 2,Course 2,Session-A,Student 36,Adequate,1.75,3,High,No,No,Yes,No,No,No,3,High,0,Low,71.3,Fair,71.3,Fair,62,Adequate,342,Excellent,267,Very Good,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 37,Adequate,2,1,Low,No,No,No,No,No,No,2,Medium,0,Low,89.1,Excellent,89.1,Excellent,84,Very Good,125,Good,218,Very Good,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 38,Adequate,1.75,2,Medium,No,No,Yes,No,Yes,No,1,Low,0,Low,77.2,Good,77.2,Good,53,Adequate,255,Very Good,93,Fair,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 39,Adequate,2,2,Medium,No,No,No,No,Yes,No,4,Low,0,Low,80.16,Very Good,80.16,Very Good,64.5,Adequate,84,Fair,245,Very Good,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 40,Fair,2.25,1,Low,No,No,No,No,No,No,1,Low,0,Low,85.9,Very Good,85.9,Very Good,83,Very Good,253,Very Good,287,Very Good,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 41,Fair,2.5,1,Low,No,No,No,No,No,No,2,Medium,0,Low,56.84,Adequate,56.84,Adequate,55,Adequate,223,Very Good,100,Good,1,0,0,0,Pass
Module 2,Course 2,Session-A,Student 42,Adequate,2,1,Low,No,No,No,No,Yes,Yes,3,High,0,Low,54.4,Adequate,54.4,Adequate,45,Fail,391,Excellent,320,Excellent,3,1,2,2,Pass
Module 2,Course 2,Session-A,Student 43,Adequate,1.75,2,Medium,No,No,No,No,Yes,No,2,Medium,0,Low,66.4,Fair,66.4,Fair,44,Fail,249,Very Good,399,Excellent,1,0,1,0,Pass
Module 2,Course 2,Session-A,Student 44,Adequate,2,1,Low,No,No,No,No,No,No,2,Medium,0,Low,36.9,Fail,36.9,Fail,5,Fail,19,Poor,174,Good,2,2,1,1,Pass
Module 2,Course 2,Session-A,Student 45,Good,3,1,Low,No,No,No,No,No,No,3,High,0,Low,68.2,Fair,68.2,Fair,60,Adequate,339,Excellent,293,Very Good,3,1,1,2,Pass
Module 2,Course 2,Session-A,Student 46,Poor,,1,Low,No,No,No,No,No,No,3,High,0,Low,71.96,Fair,71.96,Fair,75,Good,43,Adequate,45,Adequate,8,13,1,7,Pass
Module 2,Course 2,Session-A,Student 47,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,79.86,Good,79.86,Good,47,Fail,186,Good,223,Very Good,5,3,0,4,Pass
Module 2,Course 2,Session-A,Student 48,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,92.7,Excellent,92.7,Excellent,81,Very Good,262,Very Good,243,Very Good,5,7,1,4,Pass
Module 2,Course 2,Session-A,Student 49,Adequate,2,2,Medium,No,No,No,No,Yes,No,2,Medium,0,Low,82.16,Very Good,82.16,Very Good,50.5,Adequate,318,Excellent,256,Very Good,1,7,2,0,Pass
Module 2,Course 2,Session-A,Student 50,Very Good,3.5,1,Low,No,No,No,No,No,No,3,High,0,Low,55.36,Adequate,55.36,Adequate,57,Adequate,243,Very Good,324,Excellent,1,1,0,0,Pass
Module 2,Course 2,Session-A,Student 51,Very Good,3.25,1,Low,No,No,No,No,No,No,3,High,0,Low,59.66,Adequate,59.66,Adequate,60,Adequate,65,Fair,296,Very Good,1,0,0,0,Pass
Module 5,Course 5,Session-A,Student 52,Good,2.75,1,Low,No,No,No,No,No,No,3,High,0,Low,78,Good,70,Fair,72,Fair,39,Adequate,23,Poor,1,1,1,0,Pass
Module 5,Course 5,Session-A,Student 53,Excellent,4,1,Low,No,No,No,No,No,No,3,High,0,Low,91,Excellent,90,Excellent,82,Very Good,301,Excellent,35,Adequate,6,7,1,5,Pass
Module 5,Course 5,Session-A,Student 54,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,52,Adequate,62,Adequate,68,Fair,98,Fair,6,Poor,1,0,1,0,Pass
Module 5,Course 5,Session-A,Student 55,Adequate,2,1,Low,No,No,No,No,Yes,No,3,High,0,Low,81,Very Good,75,Good,66,Fair,186,Good,12,Poor,3,0,1,2,Fail
Module 5,Course 5,Session-A,Student 56,Adequate,2,1,Low,No,No,No,No,No,No,3,High,0,Low,55,Adequate,65,Adequate,83,Very Good,82,Fair,11,Poor,1,0,1,0,Fail
Module 5,Course 5,Session-B,Student 57,Fair,2.25,1,Low,No,No,No,No,No,No,2,Medium,0,Low,78,Good,71,Fair,48,Fail,150,Good,20,Poor,1,0,1,0,Pass
Module 5,Course 5,Session-B,Student 58,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,69,Fair,69,Fair,56,Adequate,186,Good,56,Fair,1,0,1,0,Pass
Module 5,Course 5,Session-B,Student 59,Adequate,1.75,1,Low,No,No,No,No,No,No,3,High,1,Low,63.65,Adequate,64.6,Adequate,26,Fail,115,Good,10,Poor,1,6,0,0,Pass
Module 5,Course 5,Session-B,Student 60,Adequate,1.75,1,Low,No,No,Yes,No,Yes,No,3,High,1,Low,69.3,Fair,69.35,Fair,77,Good,224,Very Good,123,Good,1,4,0,0,Pass
Module 5,Course 5,Session-B,Student 61,Good,2.75,1,Low,No,No,No,No,No,No,2,Medium,0,Low,89,Excellent,73,Fair,67,Fair,189,Good,67,Fair,1,3,1,0,Pass
Module 5,Course 5,Session-B,Student 62,Fair,2.25,1,Low,No,No,No,No,No,No,3,High,0,Low,84,Very Good,79,Good,94,Excellent,246,Very Good,210,Very Good,1,4,0,0,Fail
Module 5,Course 5,Session-B,Student 63,Good,2.75,1,Low,No,No,No,No,No,No,3,High,0,Low,82,Very Good,75,Good,33,Fail,132,Good,24,Poor,1,5,1,0,Pass
Module 5,Course 5,Session-B,Student 64,Adequate,2,1,Low,No,No,No,No,Yes,No,3,High,0,Low,73,Fair,83,Very Good,56,Adequate,140,Good,34,Adequate,1,5,1,0,Pass
Module 5,Course 5,Session-B,Student 65,Good,2.75,1,Low,No,No,No,No,No,No,3,High,0,Low,87,Excellent,81,Very Good,86,Very Good,315,Excellent,208,Very Good,1,5,0,0,Pass
