RollNumber,Applicant,SessionName,CW1,CW2,ESE
Student 19,xxxxxxxxxx,Session-A,70.3,70.3,65
Student 20,xxxxxxxxxx,Session-A,88.3,88.3,84
Student 21,xxxxxxxxxx,Session-A,67.96,67.96,67
Student 22,xxxxxxxxxx,Session-A,88,88,79.5
Student 23,xxxxxxxxxx,Session-A,65.38,65.38,49
Student 24,xxxxxxxxxx,Session-A,67.3,67.3,45.5
Student 25,xxxxxxxxxx,Session-A,86.56,86.56,78.5
Student 26,xxxxxxxxxx,Session-A,64.26,64.26,56
Student 27,xxxxxxxxxx,Session-A,49.2,49.2,0
Student 28,xxxxxxxxxx,Session-A,91.5,91.5,58.5
Student 29,xxxxxxxxxx,Session-A,51.66,51.66,48
Student 30,xxxxxxxxxx,Session-A,54.8,54.8,45
Student 31,xxxxxxxxxx,Session-A,85.3,85.3,83
Student 32,xxxxxxxxxx,Session-A,77.8,77.8,35
Student 33,xxxxxxxxxx,Session-A,44.76,44.76,64
Student 34,xxxxxxxxxx,Session-A,47.2,47.2,14
Student 35,xxxxxxxxxx,Session-A,72.7,72.7,76
Student 36,xxxxxxxxxx,Session-A,71.3,71.3,62
Student 37,xxxxxxxxxx,Session-A,89.1,89.1,84
Student 38,xxxxxxxxxx,Session-A,77.2,77.2,53
Student 39,xxxxxxxxxx,Session-A,80.16,80.16,64.5
Student 40,xxxxxxxxxx,Session-A,85.9,85.9,83
Student 41,xxxxxxxxxx,Session-A,56.84,56.84,55
Student 42,xxxxxxxxxx,Session-A,54.4,54.4,45
Student 43,xxxxxxxxxx,Session-A,66.4,66.4,44
Student 44,xxxxxxxxxx,Session-A,36.9,36.9,5
Student 45,xxxxxxxxxx,Session-A,68.2,68.2,60
Student 46,xxxxxxxxxx,Session-A,71.96,71.96,75
Student 47,xxxxxxxxxx,Session-A,79.86,79.86,47
Student 48,xxxxxxxxxx,Session-A,92.7,92.7,81
Student 49,xxxxxxxxxx,Session-A,82.16,82.16,50.5
Student 50,xxxxxxxxxx,Session-A,55.36,55.36,57
Student 51,xxxxxxxxxx,Session-A,59.66,59.66,60
