RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 125,xxxxxxxxxx,Session-A,74,67.45,65.5
Student 126,xxxxxxxxxx,Session-A,67,69,59.5
Student 127,xxxxxxxxxx,Session-A,72,83,87.5
Student 128,xxxxxxxxxx,Session-A,79,64,64
Student 129,xxxxxxxxxx,Session-A,77,70,71.5
Student 130,xxxxxxxxxx,Session-A,31,56.05,76
Student 131,xxxxxxxxxx,Session-A,69,89,75
Student 132,xxxxxxxxxx,Session-A,70,83,75.5
Student 133,xxxxxxxxxx,Session-A,76,86,60
Student 134,xxxxxxxxxx,Session-A,69,61,66.5
Student 135,xxxxxxxxxx,Session-A,85,81.7,56.5
Student 136,xxxxxxxxxx,Session-A,25.65,0,0
Student 137,xxxxxxxxxx,Session-A,75,89,52
Student 138,xxxxxxxxxx,Session-A,69,80.75,74
Student 139,xxxxxxxxxx,Session-A,73,79,64
Student 140,xxxxxxxxxx,Session-A,52,53,55.5
Student 141,xxxxxxxxxx,Session-A,65,73,41
Student 142,xxxxxxxxxx,Session-A,65,64,41
Student 143,xxxxxxxxxx,Session-A,77,84,8
Student 144,xxxxxxxxxx,Session-B,80,85,80.5
Student 145,xxxxxxxxxx,Session-B,59,88,70.5
Student 146,xxxxxxxxxx,Session-B,78,80,60.5
Student 147,xxxxxxxxxx,Session-B,63.3,63.3,61
Student 148,xxxxxxxxxx,Session-B,56.7,56.7,50
Student 149,xxxxxxxxxx,Session-B,40,40,59
Student 150,xxxxxxxxxx,Session-B,86,86,47
Student 151,xxxxxxxxxx,Session-B,83,83,70
Student 152,xxxxxxxxxx,Session-B,63.9,63.9,76
Student 153,xxxxxxxxxx,Session-B,76.3,76.3,64
Student 154,xxxxxxxxxx,Session-B,86.5,86.5,66
Student 155,xxxxxxxxxx,Session-B,51.8,51.8,48
Student 156,xxxxxxxxxx,Session-B,73.4,73.4,72
Student 157,xxxxxxxxxx,Session-B,69.2,69.2,65
Student 158,xxxxxxxxxx,Session-B,54.7,54.7,50
Student 159,xxxxxxxxxx,Session-B,54.8,54.8,45
