RollNumber,ApplicantName,SessionName,CW1,CW2,ESE
Student 57,xxxxxxxxxx,Session-B,78,71,48
Student 58,xxxxxxxxxx,Session-B,69,69,56
Student 59,xxxxxxxxxx,Session-B,63.65,64.6,26
Student 60,xxxxxxxxxx,Session-B,69.3,69.35,77
Student 61,xxxxxxxxxx,Session-B,89,73,67
Student 62,xxxxxxxxxx,Session-B,84,79,94
Student 63,xxxxxxxxxx,Session-B,82,75,33
Student 64,xxxxxxxxxx,Session-B,73,83,56
Student 65,xxxxxxxxxx,Session-B,87,81,86
Student 66,xxxxxxxxxx,Session-B,80,81,37
Student 67,xxxxxxxxxx,Session-B,89,89,96
Student 68,xxxxxxxxxx,Session-B,74,79,36
Student 69,xxxxxxxxxx,Session-B,82,81,24
Student 70,xxxxxxxxxx,Session-B,75.05,68.4,45
Student 71,xxxxxxxxxx,Session-B,76,75,44
Student 72,xxxxxxxxxx,Session-B,83,71,48
