RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 208,xxxxxxxxxx,5,0,1,3
Student 209,xxxxxxxxxx,1,4,3,3
Student 210,xxxxxxxxxx,5,0,2,5
Student 211,xxxxxxxxxx,5,0,1,3
Student 212,xxxxxxxxxx,4,0,2,3
Student 213,xxxxxxxxxx,5,1,3,3
Student 214,xxxxxxxxxx,0,2,0,3
Student 215,xxxxxxxxxx,4,3,2,5
Student 216,xxxxxxxxxx,5,0,3,4
Student 217,xxxxxxxxxx,5,3,0,5
Student 218,xxxxxxxxxx,3,5,1,0
Student 219,xxxxxxxxxx,3,2,3,3
Student 220,xxxxxxxxxx,3,5,1,5
Student 221,xxxxxxxxxx,1,3,3,3
Student 222,xxxxxxxxxx,4,0,3,1
Student 223,xxxxxxxxxx,5,0,2,2
Student 224,xxxxxxxxxx,0,2,2,1
Student 225,xxxxxxxxxx,0,5,3,1
Student 226,xxxxxxxxxx,0,3,2,0
Student 227,xxxxxxxxxx,4,0,0,2
Student 228,xxxxxxxxxx,4,0,2,3
Student 229,xxxxxxxxxx,4,4,0,3
Student 230,xxxxxxxxxx,1,2,1,0
Student 231,xxxxxxxxxx,2,1,2,4
