RollNumber,ApplicantName,,Played,Paused,Likes,Segment
Student 189,xxxxxxxxxx,,1,2,0,0
Student 190,xxxxxxxxxx,,2,0,2,1
Student 191,xxxxxxxxxx,,1,0,0,0
Student 192,xxxxxxxxxx,,1,1,0,0
Student 193,xxxxxxxxxx,,1,1,0,0
Student 194,xxxxxxxxxx,,3,1,2,2
Student 195,xxxxxxxxxx,,1,0,0,0
Student 196,xxxxxxxxxx,,2,2,1,1
Student 197,xxxxxxxxxx,,3,1,1,2
Student 198,xxxxxxxxxx,,8,13,1,7
Student 199,xxxxxxxxxx,,5,3,0,4
Student 200,xxxxxxxxxx,,5,7,1,4
Student 201,xxxxxxxxxx,,1,7,2,0
Student 202,xxxxxxxxxx,,1,1,1,0
Student 203,xxxxxxxxxx,,1,0,1,0
Student 204,xxxxxxxxxx,,1,1,1,0
Student 205,xxxxxxxxxx,,6,7,0,5
Student 206,xxxxxxxxxx,,1,0,1,0
Student 207,xxxxxxxxxx,,3,0,1,2
