RollNumber,ApplicantName,Played,Paused,Likes,Segment
Student 232,xxxxxxxxxx,2,1,1,2
Student 233,xxxxxxxxxx,3,0,2,0
Student 234,xxxxxxxxxx,2,2,1,0
Student 235,xxxxxxxxxx,3,5,3,3
Student 236,xxxxxxxxxx,0,0,3,0
Student 237,xxxxxxxxxx,4,0,3,3
Student 238,xxxxxxxxxx,1,2,2,1
Student 239,xxxxxxxxxx,1,3,2,5
Student 240,xxxxxxxxxx,2,2,3,0
Student 241,xxxxxxxxxx,0,0,1,2
Student 242,xxxxxxxxxx,0,1,0,0
Student 243,xxxxxxxxxx,1,2,3,1
Student 244,xxxxxxxxxx,3,0,0,3
Student 245,xxxxxxxxxx,5,3,1,1
Student 246,xxxxxxxxxx,2,1,1,2
Student 247,xxxxxxxxxx,5,0,3,2
Student 248,xxxxxxxxxx,3,5,3,1
Student 249,xxxxxxxxxx,5,4,3,1
Student 250,xxxxxxxxxx,0,0,3,1
Student 251,xxxxxxxxxx,4,1,2,3
Student 252,xxxxxxxxxx,5,1,3,4
Student 253,xxxxxxxxxx,4,3,2,3
Student 254,xxxxxxxxxx,2,4,2,0
Student 255,xxxxxxxxxx,4,5,0,1
Student 256,xxxxxxxxxx,5,3,3,4
Student 257,xxxxxxxxxx,3,1,1,0
Student 258,xxxxxxxxxx,4,4,3,0
Student 259,xxxxxxxxxx,1,2,1,4
Student 260,xxxxxxxxxx,3,3,1,2
Student 261,xxxxxxxxxx,1,5,0,2
Student 262,xxxxxxxxxx,3,3,1,5
Student 263,xxxxxxxxxx,5,1,2,5
Student 264,xxxxxxxxxx,1,2,0,3
Student 265,xxxxxxxxxx,4,3,0,4
Student 266,xxxxxxxxxx,2,1,3,2
Student 267,xxxxxxxxxx,1,0,2,3
