RollNumber,Applicant,Played,Paused,Likes,Segment
Student 19,xxxxxxxxxx,1,4,1,0
Student 20,xxxxxxxxxx,1,3,1,0
Student 21,xxxxxxxxxx,1,4,0,0
Student 22,xxxxxxxxxx,1,5,1,0
Student 23,xxxxxxxxxx,1,5,1,0
Student 24,xxxxxxxxxx,1,5,1,0
Student 25,xxxxxxxxxx,1,2,0,0
Student 26,xxxxxxxxxx,2,0,2,1
Student 27,xxxxxxxxxx,1,0,0,0
Student 28,xxxxxxxxxx,1,1,0,0
Student 29,xxxxxxxxxx,1,1,1,0
Student 30,xxxxxxxxxx,5,0,1,4
Student 31,xxxxxxxxxx,2,0,0,1
Student 32,xxxxxxxxxx,1,0,0,0
Student 33,xxxxxxxxxx,1,0,1,0
Student 34,xxxxxxxxxx,1,0,1,0
Student 35,xxxxxxxxxx,2,0,0,1
Student 36,xxxxxxxxxx,1,0,0,0
Student 37,xxxxxxxxxx,1,0,1,0
Student 38,xxxxxxxxxx,1,0,1,0
Student 39,xxxxxxxxxx,1,0,0,0
Student 40,xxxxxxxxxx,1,0,0,0
Student 41,xxxxxxxxxx,1,0,0,0
Student 42,xxxxxxxxxx,3,1,2,2
Student 43,xxxxxxxxxx,1,0,1,0
Student 44,xxxxxxxxxx,2,2,1,1
Student 45,xxxxxxxxxx,3,1,1,2
Student 46,xxxxxxxxxx,8,13,1,7
Student 47,xxxxxxxxxx,5,3,0,4
Student 48,xxxxxxxxxx,5,7,1,4
Student 49,xxxxxxxxxx,1,7,2,0
Student 50,xxxxxxxxxx,1,1,0,0
Student 51,xxxxxxxxxx,1,0,0,0
