alumno.pret;sexo.pret;coleg.pret;curso.pret;grup.pret;pais.pret;ren.mat.pret;ren.leng.pret;ECE1.pret;ECE2.pret;ECE3.pret;ECE4.pret;ECE5.pret;ECE6.pret;ECE7.pret;ECE8.pret;ECE9.pret;ECE10.pret;ECE11.pret;ECE12.pret;ECE13.pret;ECE14.pret;ECE15.pret;ECE16.pret;ECE17.pret;ECE18.pret;ECE19.pret;IEA1.pret;IEA2.pret;IEA3.pret;IEA4.pret;IEA5.pret;IEA6.pret;IEA7.pret;IEA8.pret;IEA9.pret;IEA10.pret;IEA11.pret;IEA12.pret;IEA13.pret;IEA14.pret;IEA15.pret;IEA16.pret;IEA17.pret;IEA18.pret;IEA19.pret;IEA20.pret;IEA21.pret;IEA22.pret;IEA23.pret;IEA24.pret;IEA25.pret;IEA26.pret;IEA27.pret;IEA28.pret;PRE_Emotion_Engage;PRE_Cognitive_Engage;PRE_Behavior_Engage;PRE_Enviroment_Manage;PRE_Information_help_Manage;PRE_Maladapative_Behavior;PRE_Time_Manage;PRE_ENG_EMOC;PRE_ENG_COGN;PRE_ENG_COND;ZPRE_ENG_EMOC;ZPRE_ENG_COGN;ZPRE_ENG_COND;LPA_4perfiles;LPA_3perfiles;Gestión_Entorno;Gestión_Tiempo;Desadaptativo;Gesti_Infor;enviroment_manag;time_manag;maladaptative_behavior;informati_manag
1;2;1;6;1;1;4;4;1;3;4;4;5;4;4;4;2;1;4;5;4;2;1;4;5;3;5;4;4;5;5;5;3;5;5;3;2;1;3;1;1;5;5;4;5;1;2;4;3;2;4;4;1;4;4;,898925139743621;,250574612932577;-,668173397296519;-,148342409240577;,248992339454063;,0869521604102638;,988319147979237;4,4;3,14285714285714;3,75;,867354434005637;,293526155800002;-,671975326007045;3;2;-,474414309733252;,652384090585314;-,168163000825591;,516849684237879;4,4;3,88888888888889;1,57142857142857;4,14285714285714
2;1;1;6;1;1;4;3;2;5;4;4;1;4;2;1;1;4;5;4;5;4;2;4;2;4;5;5;5;5;4;4;4;2;3;4;1;5;1;4;4;4;5;4;3;1;1;3;4;1;4;5;2;3;5;-2,47121392634286;1,50596375103944;,555726427971537;,66276813496174;,343655889199938;-,794889407297272;-,265666767331317;2;3,71428571428571;4;-1,76695373807005;1,03438184054982;-,272989976190358;3;2;,823248749215524;-,298384767032879;-,329051079518784;,0487188491419383;4;3,88888888888889;2,14285714285714;4,28571428571429
3;2;1;6;1;1;4;4;3;4;5;3;4;5;4;3;5;2;4;3;5;4;2;4;5;4;4;4;5;5;4;4;4;4;2;4;1;3;1;2;3;4;5;3;4;1;3;4;4;1;3;5;1;4;5;,261453695852311;1,43763063172091;-,497914506661163;,309021271646678;,128115588200403;-,137405480100304;,0146682902831534;4;3,85714285714286;4,25;,428303071993022;1,21959576173728;,12599537362633;4;1;,389497415364482;,0930868421355208;-,406283140039057;,0360967080573609;4,4;3,88888888888889;1,71428571428571;4
4;2;1;6;1;1;3;3;2;4;4;4;3;3;3;3;1;3;2;4;4;2;2;3;3;4;3;4;4;4;2; ;5;4;4;3;2;2;2;3;4;4;4;2;3;2;2;1;4;2;3;4;2;3;4;-,542139175402318;-,19963988513003;-,485535218283371;-,0706820039734175;-,750175184959336;,319066401392717;,230952942356844;3;2,57142857142857;3,75;-,669325333038516;-,44732952894982;-,671975326007045;3;2; ; ; ; ;3,4;3,66666666666667;2,14285714285714; 
5;1;1;6;1;1;5;3;3;4;4;4;4;4;3;5;1;3;4;1;5;4;2;4;4;5;4;5;5;4;4;5;4;1;4;5;1;3;2;1;4;5;4;4;4;1;1;4;3;1;4;4;3;4;3;,533748535654201;-,0525618222004994;-,0403566655717173;,124193592055745;,268893597036424;-,777304970985745;,922293734356536;4;3;4,25;,428303071993022;,108312234612546;,12599537362633;3;2;-,594399542967153;,356198864283006;-,395465283895355;,665494077551747;3,8;3,88888888888889;1,71428571428571;4,42857142857143
6;2;1;6;1;1;3;4;4;5;5;4;4;3;4;4;3;2;4;3;3;4;1;3;4;4;3;4;5;5;5;5;3;4;3;5;2;4;1;5;4;4;5;4;3;4;2;4;4;2;4;4;1;4;5;,100899432040426;1,02610225530669;-,372508084946109;,329203556777203;,691921946008006;,933676640586285;,290471877081656;3,8;3,71428571428571;4;,208777390986714;1,03438184054982;-,272989976190358;3;2;,872059134758624;,225329670608781;,959585670626874;,281811836931447;4,4;3,88888888888889;2,71428571428571;4,42857142857143
7;2;1;6;1;1;4;5;2;3;4;3;4;4;4;3;1;3;3;1;4;3;2;2;3;3;2;4;4;5;3;2;2;1;5;2;1;4;2;4;4;4;3;4;1;3;1;4;2;2;4;2;1;3;3;,00699062632587072;-,818675411723798;-1,04498289016627;-,585871632321104;,361300725288059;-,340659667504155;-,553729784981441;3,2;2,14285714285714;3,5;-,449799652032208;-1,00297129251219;-1,07096067582373;3;2;-,141584473730751;-1,34701559242788;,405443072606467;,0505914812935748;3,2;2,66666666666667;2,28571428571429;3,71428571428571
8;1;1;6;1;1;2;3;4;5;5;5;2;5;1;2;1;5;5;4;5;1;1;2;1;4;5;5;5;5;5;5;5;3;1;5;1;3;1;1;5;5;5;5;5;2;2;5;5;1;5;5;1;5;5;-3,1256626142073;1,47411083327155;1,43843741085185;,539374248431306;1,33403154665717;-,037552412905374;,3052038022353;1,6;3,57142857142857;4,75;-2,20600510008267;,849167919362369;,923966073259706;2;2;,489947040292956;,71257545857877;-,351932558297616;1,17985085721083;4,6;4,55555555555556;1,57142857142857;5
9;2;1;6;1;1;2;3;2;5;5;3;3;4;2;3;2;4;2;1;4;3;2;4;3;1;4;5;4;2;1;1;4;1;3;1;1;5;2;4;5;3;1;4;1;1;3;4;4;1;1;4;5;1;4;-,767719314508907;,283735275144201;-1,09407493220733;-,559869486991923;-,619296778282199;-,0978992101848196;-1,71778173443442;3;2,71428571428571;3,25;-,669325333038516;-,262115607762365;-1,46994602564042;3;2;-,600685781632819;-1,39457646331514;,709049731886874;-,328946162271982;3;2,55555555555556;3;3
10;2;1;6;1;1;1;1;5;5;5;5;5;5;4;5;1;3;5;5;5;5;1;5;5;5;5;5;5;5;5;3;3;4;1;5;1;5;1;3;4;5;5;5;4;1;1;1;5;1;5;5;1;5;5;,591393486088258;1,67786079314222;1,02041924855208;,495803177672759;1,17405233871513;-,865716805883169;-,00616649968085903;4,8;4,42857142857143;5;1,30640579601825;1,9604514464871;1,32295142307639;4;1;,751711259800463;-,31228339297825;-,605177882723501;,748726743533264;4;4,22222222222222;1,85714285714286;4,57142857142857
11;2;1;6;1;1;5;5;3;5;5;5;5;4;5;4;2;2;5;5;5;3;1;5;5;5;2;5;5;5;2;5;5;5;3;4;1;2;3;3;5;5;5;5;3;1;1;5;5;1;5;4;1;4;4;1,07539468604002;,442441328307062;,714537220295834;,816595575194041;,50306526605951;-,945759714709547;-,0828533848329022;4,8;3,57142857142857;4,75;1,30640579601825;,849167919362369;,923966073259706;4;1;1,23366081318084;-,137221482839036;-,220732981809297;,842617732144238;5;4,11111111111111;1,71428571428571;4,57142857142857
